0,6.356420411194854,6.356420411194854,2.81878399848938
1,-36.744109612752695,-30.38768920155784,5.657545804977417
2,-24.771305861956833,-55.15899506351467,5.527959823608398
3,-23.526493521698036,-78.68548858521271,5.848528861999512
4,-14.59239051016091,-93.27787909537362,5.7900707721710205
5,-131.67395123610868,-224.9518303314823,5.708313703536987
6,-2.124306498428332,-227.07613682991064,5.697718381881714
7,-22.977528594032925,-250.05366542394356,5.536121606826782
8,-40.72925368601767,-290.7829191099612,5.895510911941528
9,-52.525900007888474,-343.3088191178497,5.725441217422485
10,-48.692479044749646,-392.0012981625993,5.598024606704712
11,5.119223269299685,-386.8820748932996,5.782927513122559
12,-56.598350334440056,-443.48042522773966,5.649987459182739
13,-141.05403461852455,-584.5344598462642,5.966418743133545
14,-119.78348566855321,-704.3179455148174,5.871322393417358
15,-114.45324592147642,-818.7711914362939,5.610722541809082
16,-99.95400405409889,-918.7251954903927,5.823122501373291
17,-196.47259239440206,-1115.1977878847947,5.903194189071655
18,-232.61879690987985,-1347.8165847946746,5.691614627838135
19,-30.42752310316265,-1378.2441078978372,5.756795406341553
20,-305.3819439701395,-1683.6260518679767,5.7203099727630615
21,-408.72029434115825,-2092.346346209135,5.842589855194092
22,-397.08074820825607,-2489.427094417391,5.914644479751587
23,-390.3445291199376,-2879.7716235373287,5.673980951309204
24,-54.675261672323415,-2934.446885209652,5.8412816524505615
25,-465.8317377957635,-3400.2786230054153,6.087196111679077
26,-442.5066425079438,-3842.7852655133593,5.706035614013672
27,-433.68444281048323,-4276.4697083238425,5.796839475631714
28,-73.60014435957665,-4350.069852683419,5.699446678161621
29,-436.84669032145865,-4786.916543004878,5.812356233596802
